ETC_20150317_000001	$Kepa
ETC_20150317_000002	$O Kepa não é um monstro forte. No entanto, atacá-lo de forma imprudente pode levar você às lágrimas.
ETC_20150317_000003	$Kepa Grande
ETC_20150317_000004	$Às vezes, há pessoas que tentam devorar Kepas Grandes. Não permita.
ETC_20150317_000005	$Kepa Vermelho
ETC_20150317_000006	$Ao contrário da crença popular, os Kepas Vermelhos são os mais parecidos com o Kepa original.
ETC_20150317_000007	$Kepa Envenenado
ETC_20150317_000008	Monstro
ETC_20150317_000009	$Hamming
ETC_20150317_000010	$Apesar de sua pele resistente, o Hamming é um monstro bastante frágil.
ETC_20150317_000011	$Chinency
ETC_20150317_000012	$Surgido originalmente como um caule de planta, o Chinency evoluiu desde então até chegar à sua forma atual.
ETC_20150317_000013	$Chinency Mutante
ETC_20150317_000014	$Jukopus
ETC_20150317_000015	$Pouco se sabe sobre a estrutura interna do Jukopus.
ETC_20150317_000016	$Jukopus Azul
ETC_20150317_000017	$Jukopus Cinza
ETC_20150317_000018	$Dependendo de sua maturidade, esse monstro pode desenvolver várias técnicas de combate diferentes.
ETC_20150317_000019	$Pokubon
ETC_20150317_000020	$Pokubon Amarelo
ETC_20150317_000021	$Pokubon Azul
ETC_20150317_000022	$Há muitas coisas que você deve saber sobre esse monstro. Acima de tudo, não seja atingido por seu ataque de carga.
ETC_20150317_000023	$Pokubon Verde
ETC_20150317_000024	$Mesmo após a mutação, sua carne ainda é comestível.
ETC_20150317_000025	$Pokubu Azul
ETC_20150317_000026	$Banshee
ETC_20150317_000027	$As almas daqueles que partiram para o mundo dos mortos, agora aparecem como demônios.
ETC_20150317_000028	$Banshee Vermelho
ETC_20150317_000029	$Espírito Maligno
ETC_20150317_000030	$Uma alma que não foi guiada pela deusa. Foi gerada por meio de controle demoníaco.
ETC_20150317_000031	$Banshee Grande
ETC_20150317_000032	$Colmeia
ETC_20150317_000033	$Colmeia Azul
ETC_20150317_000034	$Colmeia Cinza
ETC_20150317_000035	$Colmeia Vermelha
ETC_20150317_000036	$Aranha-do-Mato
ETC_20150317_000037	$Rastejando em meio às sombras da floresta, esse monstro evoluiu imensamente em tamanho ao longo do tempo.
ETC_20150317_000038	$Aranha-do-Mato Negra
ETC_20150317_000039	$Aranha-do-Mato Vermelha
ETC_20150317_000040	$Aranha-do-Mato Branca
ETC_20150317_000041	$Aranha-do-Mato Amarela
ETC_20150317_000042	Dionia Asquerosa
ETC_20150317_000043	Dionia Poza
ETC_20150317_000044	$Fragaras Azul
ETC_20150317_000045	$Esse monstro cresceu em tamanho, mas não mudou muito. Mesmo no passado, já costumava ser uma planta mortal e feroz.
ETC_20150317_000046	$Fragaras Negra
ETC_20150317_000047	$Fragaras Vermelha
ETC_20150317_000048	$Lutador Vubbe
ETC_20150317_000049	$Lutador Vubbe Azul
ETC_20150317_000050	$Lutador Vubbe Vermelho
ETC_20150317_000051	$Não se sabe se os Lutadores Vubbe são treinados ou se possuem uma aptidão natural para o combate.
ETC_20150317_000052	$Golem
ETC_20150317_000053	$Golem Cinza
ETC_20150317_000054	$Medusa
ETC_20150317_000055	$Algumas pessoas dizem que a Medusa pode ser usada para entrar em contato com as almas dos mortos. 
ETC_20150317_000056	$Medusa Azul
ETC_20150317_000057	$Medusa Verde
ETC_20150317_000058	$Medusa Vermelha
ETC_20150317_000059	$Pesquisadores afirmaram que as plantas têm alma. A Medusa é uma forma mutante dessas almas.
ETC_20150317_000060	$Medusa Larva
ETC_20150317_000061	$Ellaganos
ETC_20150317_000062	$Ferroada
ETC_20150317_000063	$Alguns dizem que preferem ser atingidos por uma flecha a levar uma picada do Ferroada.
ETC_20150317_000064	$Puragi
ETC_20150317_000065	$É um segredo esquecido que os Demônios sigilosamente enviaram os Puragis para atacar os soldados de Ruklys durante a guerra civil.
ETC_20150317_000066	$Puragi Azul
ETC_20150317_000067	$Puragis Azuis adoram matar e saquear.
ETC_20150317_000068	$Puragi Verde
ETC_20150317_000069	$Ninguém jamais viu o rosto por trás da máscara.
ETC_20150317_000070	$Puragi Vermelho
ETC_20150317_000071	$Puragi Grande
ETC_20150317_000072	$Zigri
ETC_20150317_000073	$Zigri Marrom
ETC_20150317_000074	$Esses lacaios do demônio gostam de uma matança.
ETC_20150317_000075	$Zigri Negro
ETC_20150317_000076	$Um lacaio do demônio encontrado ao redor do mundo.
ETC_20150317_000077	$Zigri Vermelho
ETC_20150317_000078	$Pescador
ETC_20150317_000079	$A razão pela qual os Pescadores são classificados como monstros se deve às suas varas de pesca que controlam as criaturas.
ETC_20150317_000080	$Pescador Azul
ETC_20150317_000081	$Pescador Verde
ETC_20150317_000082	$Pescador Vermelho
ETC_20150317_000083	$As ações deste pescador são frequentemente inexplicáveis.
ETC_20150317_000084	$Gribaru
ETC_20150317_000085	$O caule em sua cabeça pode ser usado para vários propósitos, como liberar substâncias atrativas e detectar alvo escondidos.
ETC_20150317_000086	$Gribaru Grande
ETC_20150317_000087	Griba da Floresta Espinhosa
ETC_20150317_000088	$Matsum
ETC_20150317_000089	$Se o Matsum se originou de uma planta, animal ou mineral pouco importa. O que você deve saber é que ele é perigoso.
ETC_20150317_000090	$Matsuma
ETC_20150317_000091	Ego de Mirtis
ETC_20150317_000092	$Molich
ETC_20150317_000093	$Mini Griba
ETC_20150317_000094	$Griba Verde
ETC_20150317_000095	$Griba Vermelho
ETC_20150317_000096	$Embora sua cor clara o torne bastante visível, ainda assim é difícil desviar de seus ataques.
ETC_20150317_000097	$Griba Amarelo
ETC_20150317_000098	$Griba Vermelho Grande
ETC_20150317_000099	$Griba Grande
ETC_20150317_000100	$Esse monstro foi descrito uma vez como difícil de bloquear e difícil de comer.
ETC_20150317_000101	$Griba Azul Grande
ETC_20150317_000102	$Um monstro grande, forte, resistente e uma presa relutante dos caçadores.
ETC_20150317_000103	$Griba Verde Grande
ETC_20150317_000104	$Griba Vermelho Grande
ETC_20150317_000105	$Velho Kepa
ETC_20150317_000106	$O Kepa envelhece rapidamente em detrimento de sua força. Tome cuidado com seu odor pungente, que ficou mais forte com a idade.
ETC_20150317_000107	$Velho Kepa Gelsvas
ETC_20150317_000108	$Velho Kepa Negro
ETC_20150317_000109	$Velho Kepa Vermelho
ETC_20150317_000110	$Sua cor dilapidada pelo envelhecimento apenas comprova o seu perigo.
ETC_20150317_000111	$Velho Kepa Grande
