ITEM_20150317_000001	$Elmo_vazio 
ITEM_20150317_000002	$Elmo de Mirmilão 
ITEM_20150317_000003	$Braçadeira_vazia 
ITEM_20150317_000004	$Braçadeira Vermelha 
ITEM_20150317_000005	$Braçadeira 
ITEM_20150317_000006	$Braçadeira Amarrada 
ITEM_20150317_000007	$Braçadeira de Laço Longo 
ITEM_20150317_000008	$Braçadeira de Penas 
ITEM_20150317_000009	$Braçadeira de Franjas 
ITEM_20150317_000010	$Arma_vazia 
ITEM_20150317_000011	{memo X}$Gládio Rudimentar 
ITEM_20150317_000012	$Espada de Uma Mão [Corte] 
ITEM_20150317_000013	$A espada padrão dos soldados do reino. Também frequentemente usada pelos cidadãos.
ITEM_20150317_000014	$Gládio 
ITEM_20150317_000015	$Esta arma é uma versão melhorada da sua equivalente militar.
ITEM_20150317_000016	{memo X}$Alfanje Inferior 
ITEM_20150317_000017	$Esta espada é extraordinária para retalhar. 
ITEM_20150317_000018	{memo X}$Kaskara Inferior 
ITEM_20150317_000019	$Devido à sua fácil confecção, esta espada é a escolha frequente dos aventureiros como primeira substituição da espada de treinamento. 
ITEM_20150317_000020	$Cinquedea 
ITEM_20150317_000021	$Recomendada para quem deseja uma espada mais pesada e mais forte. 
ITEM_20150317_000022	$Sabre 
ITEM_20150317_000023	$Arma principal da Cavalaria, otimizada para retalhar. A proteção no punho ajuda a proteger a mão do espadachim. 
ITEM_20150317_000024	$Shamshir 
ITEM_20150317_000025	$A borda larga da lâmina tem um corte infalível.
ITEM_20150317_000026	$Cimitarra 
ITEM_20150317_000027	$Seu grande peso é compensado pelo golpe eficiente. 
ITEM_20150317_000028	$Kris 
ITEM_20150317_000029	$Sua borda ondulada aumenta o dano causado. Uma espada prática e decorativa. 
ITEM_20150317_000030	$Facão 
ITEM_20150317_000031	$Sua lâmina afiadíssima a torna favorita mesmo entre os espadachins mais experientes. 
ITEM_20150317_000032	{memo X}$Shamshir Rudimentar 
ITEM_20150317_000033	{memo X}$Cimitarra Rudimentar 
ITEM_20150317_000034	$Gládio do Soldado 
ITEM_20150317_000035	$Arma básica fornecida aos soldados em tempo integral. Sua qualidade geral é melhor que daquelas vendidas no mercado. 
ITEM_20150317_000036	$Alfanje do Prefeito 
ITEM_20150317_000037	$Ao olhar para esta arma, surgem suspeitas sobre o passado do dono anterior. 
ITEM_20150317_000038	{memo X}$Kaskara Rudimentar 
ITEM_20150317_000039	$Moplah 
ITEM_20150317_000040	$Esta espada combina praticidade e beleza. 
ITEM_20150317_000041	{memo X}$Gládio Pesado 
ITEM_20150317_000042	$Alfanje 
ITEM_20150317_000043	{memo X}$Alfanje Pesado 
ITEM_20150317_000044	$Kaskara 
ITEM_20150317_000045	{memo X}$Cinquedea Pesada 
ITEM_20150317_000046	{memo X}$Sabre Pesado 
ITEM_20150317_000047	{memo X}$Shamshir Pesada 
ITEM_20150317_000048	$Sabre das Trevas 
ITEM_20150317_000049	$Facão das Trevas 
ITEM_20150317_000050	$Alfanje das Trevas 
ITEM_20150317_000051	$Kaskara das Trevas 
ITEM_20150317_000052	$Cinquedea das Trevas 
ITEM_20150317_000053	$Shamshir das Trevas 
ITEM_20150317_000054	$Kozuka 
ITEM_20150317_000055	{memo X}$Sem dica de ferramenta. 
ITEM_20150317_000056	$Badelaire 
ITEM_20150317_000057	$Saif 
ITEM_20150317_000058	$Colichemarde 
ITEM_20150317_000059	$Firangi 
ITEM_20150317_000060	$Corta-Espinhos 
ITEM_20150317_000061	$Espada Demoníaca 
ITEM_20150317_000062	$Espada de Mestre 
ITEM_20150317_000063	$Espada de Panto 
ITEM_20150317_000064	$Espada rudimentar usada pelo Panto. Você pode confeccionar uma versão melhor. 
ITEM_20150317_000065	$Sabre de Flonas 
ITEM_20150317_000066	$Alguns dizem que esta arma libera o rancor que as plantas têm contra os animais. 
ITEM_20150317_000067	$Alfanje de Ouro 
ITEM_20150317_000068	$Talvez devido à correlação do ouro com a sorte, o Alfanje de Ouro conceda ao portador boa sorte em combate. Obviamente, isso prejudica gravemente seus inimigos. 
ITEM_20150317_000069	$Alfanje de Aço 
ITEM_20150317_000070	$O Alfanje de Aço é uma boa opção para quem deseja precisão na luta de espadas. 
ITEM_20150317_000071	$Alfanje de Prata 
ITEM_20150317_000072	$Sua leveza e resistência permitem que o espadachim libere todo o seu potencial durante um ataque. 
ITEM_20150317_000073	$Mandraga 
ITEM_20150317_000074	$Dizem que esta espada clareia a mente do portador com sua essência de Mandrágora. 
ITEM_20150317_000075	$Espada de Mago 
ITEM_20150317_000076	$Você nunca deve zombar de um mago por empunhar uma espada, especialmente se for a Espada de Mago. 
ITEM_20150317_000077	$Espada de Alquimia 
ITEM_20150317_000078	$Esta espada é feita a partir da fórmula de um alquimista da família Witherspoon que afirmou ele podia fazer uma espada melhor do que um ferreiro. 
ITEM_20150317_000079	$Austas 
ITEM_20150317_000080	$Esta espada vale o seu preço excessivo. Porém, os comerciantes preferem que você volte para comprar outras armas do que continue usando-a por um longo tempo. 
ITEM_20150317_000081	$Sabre de Miskas 
ITEM_20150317_000082	$Esta arma vai agilizar sua habilidade de espadachim. 
ITEM_20150317_000083	$Espada Peçonhenta 
ITEM_20150317_000084	$Frequentemente, os veteranos recontam a emoção que sentiram ao deixar de ser principiantes e segurar esta espada pela primeira vez. 
ITEM_20150317_000085	$Gritas 
ITEM_20150317_000086	$Uma espada usada por aventureiros corajosos. Ironicamente, é encontrada com frequência em monstros fortes. A pessoa que obtém esta espada está involuntariamente se vingando do antigo dono. 
ITEM_20150317_000087	$Espata 
ITEM_20150317_000088	{memo X}$Uma versão melhorada da Gládio, resultado do alongamento da lâmina. 
ITEM_20150317_000089	$Alfanje do Aras 
ITEM_20150317_000090	$Esta arma permite que você experimente as capacidades de um Alfanje. 
ITEM_20150317_000091	$Espada de Ferreiro 
ITEM_20150317_000092	{memo X}$ - 2% de chance de causar +600% de dano adicional. 
ITEM_20150317_000093	{memo X}$Ocasionalmente, esta espada brilha com o talento artesanal de seu criador. 
ITEM_20150317_000094	$Espada de Klavis 
ITEM_20150317_000095	$Apesar de sua qualidade, ela vende relativamente bem. 
ITEM_20150317_000096	$Espada de Dio 
ITEM_20150317_000097	$Espada de Thresh
ITEM_20150317_000098	$Espada de Sestas 
ITEM_20150317_000099	$Espada de Dratt 
ITEM_20150317_000100	$Espada de Aston 
ITEM_20150317_000101	{memo X}$Espada de Devi 
ITEM_20150317_000102	{memo X}$Espada de Prima 
ITEM_20150317_000103	$Espada da Trindade 
ITEM_20150317_000104	$Se estiver insatisfeito com algum tipo de Alfanje, esta é uma boa alternativa. Porém, você terá de arcar com o custo extra de confecção. 
ITEM_20150317_000105	$Durandal 
ITEM_20150317_000106	$Muitos aventureiros dão nome à sua melhor espada após ter esta arma. Este era o nome da espada empunhada por um antigo guerreiro escolhido por uma deusa. 
ITEM_20150317_000107	$Velniup 
ITEM_20150317_000108	$As pessoas dirão que essa arma é demasiado cruel. 
ITEM_20150317_000109	$Fortis 
ITEM_20150317_000110	{memo X}$Embora impopular durante a Grande Calamidade das Plantas, o ressurgimento de monstros fortemente blindados está provando seu valor. 
ITEM_20150317_000111	{memo X}$Cortador de Chaparição 
ITEM_20150317_000112	$De acordo com uma teoria, essa espada também é usada em conflitos entre demônios. 
ITEM_20150317_000113	$Cortador de Tecelã Mortal 
ITEM_20150317_000114	{memo X}$Quem empunha esta lâmina se torna o portador da morte. 
ITEM_20150317_000115	$Espada de Chaparição 
ITEM_20150317_000116	{memo X}$Serve como uma evidência indireta para as disputas entre demônios. 
ITEM_20150317_000117	$Espada de Bendras 
ITEM_20150317_000118	$Uma espada que carrega o poder da deusa que castigou muitos males no passado. 
ITEM_20150317_000119	$Illizia 
ITEM_20150317_000120	$Esta lâmina ameaça gravemente tanto a vida do inimigo quanto as finanças de seu dono. Obviamente, a maioria dos espadachins ignora o último efeito. 
ITEM_20150317_000121	$Programada para exclusão 
ITEM_20150317_000122	$Espada de Duas Mãos [Corte] 
ITEM_20150317_000123	$Espada Bastarda das Trevas 
ITEM_20150317_000124	$Alguns mestres artesãos e soldados a chamam de 'espada de duas mãos de estilo combinado'. Dizem isso como uma justificativa. 
ITEM_20150317_000125	$Flambérgia 
ITEM_20150317_000126	$Se você é especialista em armas de duas mãos, a borda ondulada pode causar grande dano. 
ITEM_20150317_000127	$Nodachi 
ITEM_20150317_000128	$Uma Nodachi de comprimento 'adequado' pode aumentar seu poder de corte e controlar o espaço entre o espadachim e o inimigo. 
ITEM_20150317_000129	$Claymore 
ITEM_20150317_000130	$Todas as Claymores do reino são confeccionadas valorizando o peso e a intensidade. 
ITEM_20150317_000131	$Colosso 
ITEM_20150317_000132	$Sua lâmina em forma de leque incomum oferece a possibilidade de aumentar sua intensidade e versatilidade de uso em várias técnicas. 
ITEM_20150317_000133	$Caliburn 
ITEM_20150317_000134	$Usada frequentemente por soldados de alta patente. 
ITEM_20150317_000135	$Quaddara 
ITEM_20150317_000136	$Contradizendo sua aparência, esta espada é de dois gumes e frequentemente usada por espadachins que preferem praticidade. 
ITEM_20150317_000137	$Claymore Leve 
ITEM_20150317_000138	$A estrutura dessa espada permite ao espadachim realizar um ataque pungente. 
ITEM_20150317_000139	{memo X}$Colosso Rudimentar 
ITEM_20150317_000140	$Ilwoon 
ITEM_20150317_000141	$O Grande Ruklys usou esta espada quando jovem. 
ITEM_20150317_000142	$Espada Bastarda de Treinamento 
ITEM_20150317_000143	$Espada Bastarda 
ITEM_20150317_000144	{memo X}$Flambérgia Pesada 
ITEM_20150317_000145	{memo X}$Nodachi Pesada 
ITEM_20150317_000146	{memo X}$Claymore Pesada 
ITEM_20150317_000147	$Nodachi das Trevas 
ITEM_20150317_000148	$Quaddara das Trevas 
ITEM_20150317_000149	$Flambérgia das Trevas 
ITEM_20150317_000150	$Claymore das Trevas 
ITEM_20150317_000151	$Espada Grande 
ITEM_20150317_000152	$Katzbalger 
ITEM_20150317_000153	$Espadim 
ITEM_20150317_000154	$Zweihander 
ITEM_20150317_000155	$Espada do Carrasco 
ITEM_20150317_000156	$Espada Grande de Lumai 
ITEM_20150317_000157	$Facande 
ITEM_20150317_000158	$Potente 
ITEM_20150317_000159	$Ótima alternativa para aqueles insatisfeitos com uma Flambérgia comum. 
ITEM_20150317_000160	$Flambérgia Temsus 
ITEM_20150317_000161	$Uma espada com grande capacidade de melhoria que louva o poder natural do espadachim. Experimente seu potencial você mesmo. 
ITEM_20150317_000162	$Colosso de Didel 
ITEM_20150317_000163	$Esta espada é para quem deseja mais peso, intensidade e poder de retalhamento. 
ITEM_20150317_000164	$Collecture 
ITEM_20150317_000165	{memo X}$Apesar de popular nos combates atuais, esta arma foi considerada um item decorativo ou de coleção antes da Grande Calamidade das Plantas. 
ITEM_20150317_000166	$Espada Grande de Javalomem 
ITEM_20150317_000167	$Como os Javalomem conseguiram ou confeccionaram essa espada é irrelevante. Estamos mais preocupados em confeccioná-la e usá-la nós mesmos. 
ITEM_20150317_000168	$Espada Bastarda de Alquimia 
ITEM_20150317_000169	{memo X}$Após a Grande Calamidade das Plantas, a família Winterspoon revelou a fórmula de confecção dessa arma para todos os alquimistas. 
ITEM_20150317_000170	$Primaluce 
ITEM_20150317_000171	$Os espadachins que exigem força bruta em uma arma, frequentemente escolhem esta lâmina como sua primeira espada mágica. 
ITEM_20150317_000172	$Kindzal 
ITEM_20150317_000173	$Quem gosta de temperar suas armas confecciona esta espada para uso próprio. 
ITEM_20150317_000174	$Espada Grande Peçonhenta 
ITEM_20150317_000175	$Se você conseguiu essa espada no mercado negro, é prova de que obteve certo nível de confiança. 
