QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000002	Estatua da Deusa Vakarine	여신 바카리네의 상				
QUEST_20150317_000003	Escolha um territorio.	지역을 선택해주세요.				여신 바카리네의 상
QUEST_20150317_000004	Escolha	선택				
QUEST_20150317_000005	Escolha um item.	아이템을 선택해주세요.				선택
QUEST_20150317_000006	Escolha Grupo	그룹 선택				
QUEST_20150317_000007	Escolha um grupo de inicio de trapaca.	치트 스타트 그룹을 선택하세요.				그룹 선택
QUEST_20150317_000008	Escolha Zona	존 선택				Basic
QUEST_20150317_000009	Escolha um territorio.	시작할 존을 선택하세요.				존 선택
QUEST_20150317_000010	Escolha Melhoria	전직 선택				
QUEST_20150317_000011	Escolha uma classe.	원하시는 직업을 선택하세요.				전직 선택
QUEST_20150317_000012	Mestre Bokor	보코르 마스터				
QUEST_20150317_000013	Entao, voce tem curiosidade sobre a chapa de pedra. {nl}Se quiser, mostrarei a vontade de seu criador.	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				보코르 마스터
QUEST_20150317_000014	Deusa Laima	여신 라이마				
QUEST_20150317_000015	Quando voce tiver recebido essa mensagem, muito tempo tera se passado. {nl}Sou Laima, a deusa do destino e sabedoria.	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				수정광산의 계시
QUEST_20150317_000016	600 anos atras, enquanto criava essa revelacao, previ um evento com muita morte e sofrimento. {nl}Se voce esta vendo isso, temo que minha profecia tenha se concretizado.	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				수정광산의 계시
QUEST_20150317_000017	Os demonios deram inicio a primeira das calamidades, e as deusas desapareceram. {nl}Eu sabia que isso aconteceria, e fiz o possivel para evitar esse destino, mas meu poder nao foi suficiente.	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				수정광산의 계시
QUEST_20150317_000018	Em vez disso, perambulei por sonhos oniscientes em busca de uma resposta. {nl}Voce estava no final de um deles... um Salvador.	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				여신 라이마
QUEST_20150317_000019	Infelizmente, os demonios nao poderiam ficar parados sabendo que possuo uma clarividencia poderosa. {nl}Fui forcada a me esconder ate o momento em que voce surgiu.	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				수정광산의 계시
QUEST_20150317_000020	Decidi dividir meu ser e permanecer dentre muitas revelacoes. {nl} Revelacoes tais que continuei a criar em segredo no decorrer de um milenio.	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				수정광산의 계시
QUEST_20150317_000021	Salvador, se puder me ajudar a recuperar minha forma, podemos dar fim aos planos sinistros dos demonios.{nl}Voce deve recuperar as revelacoes que ocultei por todo e cada eixo do tempo.	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				여신 라이마
