QUEST_LV_0100_20150317_000001	Sentinela
QUEST_LV_0100_20150317_000002	Se decidir ir a Klaipeda, recomendo ir por Shadow Forest Road.{nl}O interior da floresta é perigoso, então tente não ir muito fundo, se possível.
QUEST_LV_0100_20150317_000003	Homem Escondido
QUEST_LV_0100_20150317_000004	F-Finalmente...! A ajuda chegou?{nl}Huh?! Mas é uma criança? Hey... ainda tem Vubbes lá fora?
QUEST_LV_0100_20150317_000005	Ugh. Sai daqui! Não fale comigo! Os Vubbes vão pegar a gente!{nl}Esse lugar é meu, sai daqui!
QUEST_LV_0100_20150317_000006	Como? Não mente! Dá pra sentir o cheiro de Vubbe daqui.{nl}Você não consegue enganar um adulto! Cai fora! Não chegue perto desse barril!
QUEST_LV_0100_20150317_000007	Fi... Finalmente! Os reforços chegaram?{nl}Hein?! É só um moleque? Tá olhando o quê? Fecha a tampa e vai embora!{nl}
QUEST_LV_0100_20150317_000008	Que papel é esse que você tá segurando? Parece familiar...{nl}Deixa eu ver! O que você tá fazendo? Ei, tem um adulto falando com você!
QUEST_LV_0100_20150317_000009	Esse papel, ele é meu! Não mais vou me separar dele!!{nl}Não é... algo que você vai precisar - vou rasgá-lo. Pronto.
QUEST_LV_0100_20150317_000010	Putz, que droga...
QUEST_LV_0100_20150317_000011	Depois de todas as Deusas desaparecerem, esses sonhos foram uma das primeiras{nl}coisas que surgiram.{nl}Talvez uma dessas pessoas seja quem vai trazer as Deusas de volta.
QUEST_LV_0100_20150317_000012	Soldado Blak
QUEST_LV_0100_20150317_000013	Atenção!{nl}Monstros estão atacando, então todos civis devem ser evacuados!{nl}O que esses civis estão fazendo na zona militar, afinal de contas?{nl}
QUEST_LV_0100_20150317_000014	Ah, então você é o Revelador! Me desculpe, não te reconheci.{nl}Monstros estão atacando a base de suprimento neste instante.{nl}Preciso pegar algumas rações importantes da base. Por favor, me ajude!
QUEST_LV_0100_20150317_000015	Estava tudo calmo até recentemente, mas agora eles chegam em grupos.{nl}O que exatamente está acontecendo?
QUEST_LV_0100_20150317_000016	Ainda assim, me incomodou...{nl}Quem diria que eles atacariam de forma tão absurda?
QUEST_LV_0100_20150317_000017	As rações estão na Primeira Base de Suprimento, você pode chegar lá pela Estrada do lado superior.{nl}Traga quaisquer sobras que conseguir encontrar...
QUEST_LV_0100_20150317_000018	Anotei sobre Sparnas. Talvez seja útil no futuro.{nl}Apesar de não parecer hoje em dia, eu era um biólogo quatro anos atrás.
QUEST_LV_0100_20150317_000019	Por favor, entregue esse relatório a Luders.{nl}Ele deve estar em Center Supply Camp.
QUEST_LV_0100_20150317_000020	Oficial Luders
QUEST_LV_0100_20150317_000021	Ah, você deve ser a pessoa a quem todos chamam de Revelador. Prazer em te conhecer.{nl}Esse é o relatório de Blak?{nl}
QUEST_LV_0100_20150317_000022	Hmm... É isso então?{nl}Eles apenas destruíram os suprimentos e fugiram. Mesmo que Chupacabras tivessem asas, estou certo que não seriam capazes disso.{nl}
QUEST_LV_0100_20150317_000023	Isso não é suficiente.{nl}Me desculpe, mas por favor nos traga o relatório de Moody, em Amzina Curved Path.
QUEST_LV_0100_20150317_000024	Fico mais à vontade com Luders aqui.
QUEST_LV_0100_20150317_000025	Soldado York
