QUEST_LV_0100_20150317_000001	$Sentinela
QUEST_LV_0100_20150317_000002	$Se decidir ir a Klaipeda, recomendo tomar a Estrada da Floresta das Sombras.{nl}O interior da floresta é perigoso, então tente não ir muito fundo, se possível.
QUEST_LV_0100_20150317_000003	$Homem Escondido
QUEST_LV_0100_20150317_000004	$Fi... Finalmente! Os reforços chegaram?{nl}Hein?! É só um moleque? Ei... Ainda tem Vubbes lá fora?
QUEST_LV_0100_20150317_000005	$Ugh. Sai daqui! Não fale comigo! Os Vubbes vão pegar a gente!{nl}Esse lugar é meu, sai daqui!
QUEST_LV_0100_20150317_000006	$Como? Não mente! Dá pra sentir o cheiro de Vubbe daqui.{nl}Você não consegue enganar um adulto! Cai fora! Não chegue perto desse barril!
QUEST_LV_0100_20150317_000007	$Fi... Finalmente! Os reforços chegaram?{nl}Hein?! É só um moleque? Tá olhando o quê? Fecha a tampa e vai embora!{nl}
QUEST_LV_0100_20150317_000008	$Que papel é esse que você tá segurando? Parece familiar...{nl}Deixa eu ver! O que você tá fazendo? Ei, tem um adulto falando com você!
QUEST_LV_0100_20150317_000009	$Esse papel, ele é meu! Não mais vou me separar dele!!{nl}Não é... algo que você vai precisar - vou rasgá-lo. Pronto.
QUEST_LV_0100_20150317_000010	$Putz, que droga...
QUEST_LV_0100_20150317_000011	$Depois de todas as deusas desaparecerem, esses sonhos foram uma das primeiras coisas que surgiram.{nl}Talvez uma dessas pessoas seja quem vai trazer as deusas de volta.
QUEST_LV_0100_20150317_000012	$Soldado Blak
QUEST_LV_0100_20150317_000013	$Atenção!{nl}Monstros estão atacando, então todos civis devem ser evacuados!{nl}O que esses civis estão fazendo na zona militar, afinal de contas?{nl}
QUEST_LV_0100_20150317_000014	$Ah, então você é o Revelador! Me desculpe, não te reconheci.{nl}Monstros estão atacando a base de suprimento neste instante.{nl}Preciso pegar algumas rações importantes da base. Por favor, me ajude!
QUEST_LV_0100_20150317_000015	$Estava tudo calmo até recentemente, mas agora eles chegam em grupos.{nl}O que exatamente está acontecendo?
QUEST_LV_0100_20150317_000016	$Ainda assim, me incomodou...{nl}Quem diria que eles atacariam de forma tão absurda?
