QUEST_LV_0200_20150317_000001	Soldado de Philipas
QUEST_LV_0200_20150317_000002	O ataque dos monstros est?ficando mais violento. {nl} Estou determinado a triunfar, mas tamb? temo pela nossa seguran?.
QUEST_LV_0200_20150317_000003	N? importa - posso desistir da minha vida hoje ou ser um homem morto amanh?
QUEST_LV_0200_20150317_000004	Comandante Vacenin
QUEST_LV_0200_20150317_000005	De alguma forma, precisamos resolver nossa falta de suprimentos e for?s. {nl} Quando fizermos isso, poderemos conquistar a floresta pouco a pouco.
QUEST_LV_0200_20150317_000006	Mesmo que todos estejam ficando cansados, n? podemos desistir at?que a Floresta Kateen seja nossa novamente.
QUEST_LV_0200_20150317_000007	Oficial S?ior Philipas
QUEST_LV_0200_20150317_000008	Desejo um mundo pac?ico. {nl} Para que isso aconte?, preciso me esfor?r mais.
QUEST_LV_0200_20150317_000009	Fa? qualquer coisa para recuperar esta floresta dos monstros. {nl} Vale a pena arriscar a minha vida.
QUEST_LV_0200_20150317_000010	Nossa linha de frente ?composta exclusivamente pelas tropas de Philipas. {nl} Elas seguir? os comandos de Philipas acima de qualquer coisa.
QUEST_LV_0200_20150317_000011	Viva com a ideia de que cada momento poderia ser o ?timo. {nl} Devemos aprender com o passado e us?lo a nosso favor.
QUEST_LV_0200_20150317_000012	Oficial Felix
QUEST_LV_0200_20150317_000013	A Entrada da Floresta Kateen fica na parte segura, mas tente n? adentrar muito al? disso.
QUEST_LV_0200_20150317_000014	Escultura da Coruja Fraca
QUEST_LV_0200_20150317_000015	Meu poder est?enfraquecendo lentamente. {nl} Embora existam muitas almas precisando de orientao...
QUEST_LV_0200_20150317_000016	Escultura da Coruja Assustada
QUEST_LV_0200_20150317_000017	O poder sagrado da floresta est?enfraquecendo. {nl} O que acontecer?conosco quando acabar?!
QUEST_LV_0200_20150317_000018	?assustador demais. {nl} Isso nunca aconteceu quando a Deusa ainda estava por aqui...
QUEST_LV_0200_20150317_000019	Escultura da Coruja Sincera
QUEST_LV_0200_20150317_000020	Esta floresta ?amaldi?ada... Ela consome as corujas. {nl} Eu n? tenho quase nada para instigar a coragem dos outros.
QUEST_LV_0200_20150317_000021	Desde que aquela ?vore enorme surgiu de repente, esta floresta mudou para algo horr?el. {nl} Mesmo as ra?es das ?vores assustam qualquer um que as olhe.
QUEST_LV_0200_20150317_000022	Escultura da Coruja Devotada
QUEST_LV_0200_20150317_000023	Algu? foi aprisionado. {nl} Tenho a sensao de que ele vai desaparecer...
QUEST_LV_0200_20150317_000024	A for? sagrada criada pela Deusa n? foi dissipada completamente. {nl}Ser?capaz de suprimir esta devastao? {nl}
QUEST_LV_0200_20150317_000025	O chefe me deu poder. {nl}Eu n? vou me assustar.
QUEST_LV_0200_20150317_000026	Eu n? vou mais ter medo. Eu jamais serei devorada por monstros.
QUEST_LV_0200_20150317_000027	Escultura da Coruja Sofrida
QUEST_LV_0200_20150317_000028	Estou sofrendo todos os dias. {nl}Talvez eu tamb? seja devorada por monstros.
QUEST_LV_0200_20150317_000029	Esta floresta est?cada vez mais tomada por dem?ios. {nl}Onde est?a Deusa?
QUEST_LV_0200_20150317_000030	Eu fui escolhida pelo chefe... {nl} Farei o meu melhor para derrotar os monstros.
QUEST_LV_0200_20150317_000031	O chefe tamb? est?se esfor?ndo assim... {nl} Eu jamais serei devorada at?o retorno da Deusa.
QUEST_LV_0200_20150317_000032	Coruja Subordinada 3
QUEST_LV_0200_20150317_000033	N? sempre estivemos neste lugar, mas onde est?a Deusa que sempre cuidou de n??
QUEST_LV_0200_20150317_000034	Existimos apenas para guiar as almas humanas?
QUEST_LV_0200_20150317_000035	Soldado Dominic
QUEST_LV_0200_20150317_000036	Ordenaram que eu protegesse este lugar com a minha vida e que fizesse reconhecimento ao mesmo tempo. {nl}N? sei exatamente o que esperam que eu fa?.
QUEST_LV_0200_20150317_000037	Na pr?ima vez, vou me certificar que digam exatamente o que devo fazer. {nl}N?. N? seria melhor perguntar para o Julian?
QUEST_LV_0200_20150317_000038	Se s? apenas monstros desse n?el, eu acho que posso reportar que n? h?nenhum problema s?io. {nl}Ah, se voc?encontrar o Samson, diga a ele que pare de enrolar e continue patrulhando.
QUEST_LV_0200_20150317_000039	Vou proteger esta ?ea, ent? v?patrulhar a Encruzilhada Veltui. {nl}Quanto aos relatos, fa? isso separadamente mais tarde.
QUEST_LV_0200_20150317_000040	Soldado Samson
QUEST_LV_0200_20150317_000041	Voc?pode me ajudar a encontrar o anel de noivado de Dominic? {nl} Estou no meio de uma miss? agora, ent? n? posso sair desse lugar.
QUEST_LV_0200_20150317_000042	Vou te contar, ele faz isso mesmo que eu tenha comprado um meio parecido. Que mesquinho...
QUEST_LV_0200_20150317_000043	Que coisa feia ?essa? Ah, ser?que o anel est?dentro?
QUEST_LV_0200_20150317_000044	Uma faca n? cabe a?dentro e n? tem outro jeito de tirar. {nl}Ah, ? N? d?pra queimar e pegar o que tem dentro?
QUEST_LV_0200_20150317_000045	S?tente trazer algumas que n? sejam muito grossas.
QUEST_LV_0200_20150317_000046	Essa deve estar boa. {nl}?imo. Mas como eu vou queimar isso durante o trabalho e n? ser pego?
QUEST_LV_0200_20150317_000047	Deve haver bastante Madeira Seca Espinhosa na beira do Penhasco Ishisineti. {nl}Estou patrulhando e n? tenho tempo. Vou precisar de voc?de novo.
QUEST_LV_0200_20150317_000048	Ah, voc?deve conseguir queimar secretamente no topo do Penhasco Ishisineti. {nl} Este ?o meu ?timo pedido. Voc?s?precisa fazer os preparativos para o fogo.
QUEST_LV_0200_20150317_000049	Nunca mais vou me importar com outra cerim?ia de casamento.
QUEST_LV_0200_20150317_000050	S?vou dizer que preciso ir ao banheiro e queimar secretamente ali. {nl}Muito obrigado.
QUEST_LV_0200_20150317_000051	Soldado Poulter
QUEST_LV_0200_20150317_000052	Minha nossa, a ordem manda eliminar todos os monstros dessa ?ea! {nl}Como eu posso cuidar de tantos inimigos sozinho?
QUEST_LV_0200_20150317_000053	Era dif?il demais cuidar dessa tarefa por conta pr?ria. {nl}No entanto, tive muita sorte por voc?decidir me ajudar.
QUEST_LV_0200_20150317_000054	Quase me desidratei de chorar! {nl}Muito obrigado por sua ajuda.
QUEST_LV_0200_20150317_000055	Comandante Julian
QUEST_LV_0200_20150317_000056	Obrigado por sua ajuda! {nl} Se n? tiver problema, gostaria de usar mais um pouco da sua for?.{nl}
QUEST_LV_0200_20150317_000057	Voc?pode ajudar a unidade do Comandante O'Rourke na Encruzilhada Veltui?
QUEST_LV_0200_20150317_000058	Comandante O'Rourke
QUEST_LV_0200_20150317_000059	Muito impressionante. {nl}Parece que devo uma bebida para o Julian.
QUEST_LV_0200_20150317_000060	Eu percebi enquanto observava a vore de Ferro. {nl} Que companheira excepcional ela seria.
QUEST_LV_0200_20150317_000061	A unidade de O'Rourke foi esgotada em batalhas grandes e pequenas com a vore de Ferro. Seria um al?io se voc?se tornasse nossa for?.
QUEST_LV_0200_20150317_000062	Escultura da Coruja Substituta
QUEST_LV_0200_20150317_000063	Quero ajudar a purificar a floresta espinhosa, mas n? sou forte o bastante. Voc?poderia eliminar as Assombraes Arb?eas incomodando os soldados?
QUEST_LV_0200_20150317_000064	Seria ?imo se mais pessoas pudessem ir e vir usando essa estrada como antes. {nl}Eu acho pessoas muito interessantes.
QUEST_LV_0200_20150317_000065	Obrigado. Espero n? estar causando problemas desnecess?ios por causa das minhas aspiraes.
QUEST_LV_0200_20150317_000066	Certo. N? temos recebido not?ias sobre nossas for?s na Rodovia Niurus. {nl}Pe? que os encontre.
QUEST_LV_0200_20150317_000067	Se n? conseguir encontr?los, volte para c?
QUEST_LV_0200_20150317_000068	Soldado Kallus
QUEST_LV_0200_20150317_000069	Ainda h?alguns dos nossos colegas adiante. {nl}Por favor, ajude-nos.
QUEST_LV_0200_20150317_000070	Soldado Dainus
QUEST_LV_0200_20150317_000071	A vore de Ferro nos atacou no P?tano Drieza. {nl}Ainda h?soldados que n? conseguiram escapar.{nl}
QUEST_LV_0200_20150317_000072	Estou envergonhado por ter fugido sozinho.{nl}
QUEST_LV_0200_20150317_000073	Escultura da Coruja Decidida
QUEST_LV_0200_20150317_000074	Tenho algo a lhe pedir. {nl}Estou preocupada com a dor e sofrimento dos soldados por causa das Larvarrancos.
QUEST_LV_0200_20150317_000075	Obrigado. {nl}Agora os nossos soldados podem trabalhar tranquilamente?
QUEST_LV_0200_20150317_000076	Agrade? sua gentil ajuda. {nl}Um dia, vou retribuir o favor quando encontrar a sua forma de alma.
QUEST_LV_0200_20150317_000077	Voc??o famoso Revelador? {nl}?imo, tem alguma coisa me intrigando. Preciso da sua ajuda.
QUEST_LV_0200_20150317_000078	Ah, agora eu recebi a ordem. {nl}Volte para o Comandante Julian.
QUEST_LV_0200_20150317_000079	Estou colhendo informaes sobre a vore de Ferro. {nl}Para chegar ?Passagem do Grande Rei, precisamos derrotar esse monstro primeiro.
QUEST_LV_0200_20150317_000080	Obrigado. {nl}Volte ap? levar essa ordem a Poulter na Colina Zaizda.
QUEST_LV_0200_20150317_000081	Traga os bons e velhos tempos de volta.{nl} Quando n? havia espinhos.
QUEST_LV_0200_20150317_000082	Se o caminho para a Passagem do Grande Rei estiver seguro, vou poder ver mais pessoas.{nl}
QUEST_LV_0200_20150317_000083	Em todo esse tempo, eu j?vi de tudo. {nl}Agora s?quero que a alegria seja vista.
QUEST_LV_0200_20150317_000084	Por que as almas humanas cont? tantas coisas?
QUEST_LV_0200_20150317_000085	Se encontrarmos monstros, n? vamos ter outra escolha sen? lutar.
QUEST_LV_0200_20150317_000086	Estamos tentando chegar at?a Passagem do Grande Rei. {nl}Voc?ouviu as not?ias sobre a vore de Ferro?
QUEST_LV_0200_20150317_000087	Para ser um l?er de grupo, voc?deve ter princ?ios inabal?eis.
QUEST_LV_0200_20150317_000088	Tentar chegar at?a Passagem do Grande Rei ?realmente imprudente. {nl}Por?, n? podemos desobedecer ?ordem.
