QUEST_LV_0200_20150317_000001	$Soldado de Philipas
QUEST_LV_0200_20150317_000002	$O ataque dos monstros está ficando mais violento. {nl} Estou determinado a triunfar, mas também temo pela nossa segurança.
QUEST_LV_0200_20150317_000003	{memo X}$Não importa - posso desistir da minha vida hoje ou ser um homem morto amanhã.
QUEST_LV_0200_20150317_000004	$Comandante Vacenin
QUEST_LV_0200_20150317_000005	$De alguma forma, precisamos resolver nossa falta de suprimentos e forças. {nl} Quando fizermos isso, poderemos conquistar a floresta pouco a pouco.
QUEST_LV_0200_20150317_000006	$Mesmo que todos estejam ficando cansados, não podemos desistir até que a Floresta Kateen seja nossa novamente.
QUEST_LV_0200_20150317_000007	$Oficial Sênior Philipas
QUEST_LV_0200_20150317_000008	$Desejo um mundo pacífico. {nl} Para que isso aconteça, preciso me esforçar mais.
QUEST_LV_0200_20150317_000009	$Faço qualquer coisa para recuperar esta floresta dos monstros. {nl} Vale a pena arriscar a minha vida.
QUEST_LV_0200_20150317_000010	$Nossa linha de frente é composta exclusivamente pelas tropas de Philipas. {nl} Elas seguirão os comandos de Philipas acima de qualquer coisa.
QUEST_LV_0200_20150317_000011	$Viva com a ideia de que cada momento poderia ser o último. {nl} Devemos aprender com o passado e usá-lo a nosso favor.
QUEST_LV_0200_20150317_000012	$Oficial Felix
QUEST_LV_0200_20150317_000013	{memo X}$A Entrada da Floresta Kateen fica na parte segura, mas tente não adentrar muito além disso.
QUEST_LV_0200_20150317_000014	$Escultura da Coruja Fraca
QUEST_LV_0200_20150317_000015	$Meu poder está enfraquecendo lentamente. {nl} Embora existam muitas almas precisando de orientação...
QUEST_LV_0200_20150317_000016	$Escultura da Coruja Assustada
QUEST_LV_0200_20150317_000017	$O poder sagrado da floresta está enfraquecendo. {nl} O que acontecerá conosco quando acabar?!
QUEST_LV_0200_20150317_000018	$É assustador demais. {nl} Isso nunca aconteceu quando a Deusa ainda estava por aqui...
