SKILL_20150317_000001	Ataque
SKILL_20150317_000002	Ataque Único Físico, Propriedade de Veneno de [Kepa de Elite]
SKILL_20150317_000003	Dispersão de Veneno de [Raflésia]
SKILL_20150317_000004	Bomba de Veneno de [Raflésia]
SKILL_20150317_000005	Ataque Único Físico, Golpe, Propriedade de Veneno de [Ramosca]
SKILL_20150317_000006	Ataque Único Físico, Golpe, Propriedade de Veneno, Saltar de [Ramosca]
SKILL_20150317_000007	Ataque Único Físico, Golpe, Propriedade de Veneno, Normal de [Puragi]
SKILL_20150317_000008	Ataque Único Físico, Golpe, Propriedade de Veneno de [Puragi]
SKILL_20150317_000009	Ataque Único Físico, Golpe, Propriedade de Veneno, Pisotear de [Puragi]
SKILL_20150317_000010	Ataque Normal, AdE Cônica de [Zigri]
SKILL_20150317_000011	Ataque Giratório de [Zigri]
SKILL_20150317_000012	Saltar e Pisotear de [Zigri]
SKILL_20150317_000013	Ataque com Vara de Pescar Físico, Golpe, Propriedade de Gelo de [Pescador]
SKILL_20150317_000014	Habilidade de Bônus Mágico, Bônus, Magia de [Pescador]
SKILL_20150317_000015	Ataque Único Físico, Perfurar, Propriedade de Elétrico, Chifrada de [Pokubon Verde]
SKILL_20150317_000016	Ataque Único Físico, Golpe, Propriedade de Terra de [Aranha-do-Mato]
SKILL_20150317_000017	Mordida Rápida de [Fragaras]
SKILL_20150317_000018	Mordida Grande de [Fragaras]
SKILL_20150317_000019	Ataque Normal, AdE Cônica de [Fragaras]
SKILL_20150317_000020	Ataque Normal Básico
SKILL_20150317_000021	Ataque Único Mágico, Magia, Propriedade de Elétrico de [Medusa]
SKILL_20150317_000022	Ataque Único Físico, Corte, Propriedade de Elétrico de [Gribaru]
SKILL_20150317_000023	Ataque Único Físico, Corte, Propriedade de Elétrico, Repulsão [Gribaru]
SKILL_20150317_000024	Ataque Único Físico, Perfurar, Propriedade de Veneno [Ferroada]
SKILL_20150317_000025	Ataque Único Mágico, Magia, Propriedade de Gelo, Sopro de [Banshee]
SKILL_20150317_000026	Ataque Mágico, Magia, Propriedade de Gelo, Onda Gélida de [Banshee]
SKILL_20150317_000027	Ataque Único Físico, Golpe, Propriedade de Elétrico, Duas Mãos de [Mini Griba]
SKILL_20150317_000028	Ataque Único Físico, Golpe, Propriedade de Elétrico, Esmagar de [Griba Grande]
SKILL_20150317_000029	Ataque Único Físico, Golpe, Propriedade de Elétrico, Dispersão de Veneno de [Griba Grande]
SKILL_20150317_000030	Ataque Único Físico, Golpe, Propriedade de Elétrico, Esmagar Chão de [Griba Grande]
SKILL_20150317_000031	Ataque Físico, Golpe, Propriedade de Elétrico, Cabeçada de [Hamming]
SKILL_20150317_000032	Ataque Físico, Golpe, Propriedade de Elétrico, Habilidade de Reação de [Hamming]
SKILL_20150317_000033	Ataque Físico, Golpe, Propriedade de Elétrico, Saltar e Girar de [Hamming]
SKILL_20150317_000034	Ataque Físico, Golpe, Propriedade de Elétrico, Colisão de [Trufa]
SKILL_20150317_000035	Ataque Físico, Golpe, Propriedade de Elétrico, Esmagar de [Trufa]
SKILL_20150317_000036	Ataque Físico, Golpe, Propriedade de Elétrico, Colisão de [Trufa]
SKILL_20150317_000037	Ataque Físico, Golpe, Propriedade de Trevas, Cabeçada de [Gosma Escura]
SKILL_20150317_000038	Ataque Único Físico, Golpe, Propriedade de Trevas de [Gosma Escura]
SKILL_20150317_000039	Ataque Físico, Golpe, Propriedade de Veneno, AdE Cônica de [Kepa]
SKILL_20150317_000040	Ataque Normal, AdE Cônica de [Kepa Fanático]
SKILL_20150317_000041	Ataque Físico, Golpe, Propriedade de Terra, Fumaça Enfurecida de [Velho Kepa]
SKILL_20150317_000042	Ataque Físico, Perfurar, Propriedade de Veneno, AdE Cônica de [Bola-Espinho]
SKILL_20150317_000043	Ataque Físico, Golpe, Propriedade de Fogo, AdE Cônica de [Matsum]
SKILL_20150317_000044	Ataque Único Mágico, Golpe, Propriedade de Gelo, Normal de [Sakmoli]
