UI_20150317_000001		{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Lista de Atributos {/}
UI_20150317_000003	{@st59}Fechar{/}
UI_20150317_000004	{@st43}Aprender Atributos{/}
UI_20150317_000005	{@st59}Fechar{/}
UI_20150317_000006	{@st41b}Silver{/}
UI_20150317_000007	Minhas Conquistas
UI_20150317_000008	Classificação do Servidor
UI_20150317_000009	{@st59}Um evento inesperado está disponível.{/}
UI_20150317_000010	{@st59}Tem uma nova mensagem de Ajuda{/}
UI_20150317_000011	{@st41}Você quer mesmo confeccionar esse tipo de flecha?{/}
UI_20150317_000012	{@st41b}Uma vez{/}
UI_20150317_000013	{@st41b}Tudo{/}
UI_20150317_000014	{@st41b}Pause{/}
UI_20150317_000015	{@st43}Diário de Aventuras{/}
UI_20150317_000016	{@st43}Casa de Leilões{/}
UI_20150317_000017	{@st59}Fechar{/}
UI_20150317_000018	{@st41b}Itens Vendidos: ×%s, Itens Não Vendidos:
UI_20150317_000019	{@st43}{s22}Leilão de Item{/}
UI_20150317_000020	{@st59}Fechar Informações da Quest{/}
UI_20150317_000021	Avaliar
UI_20150317_000022	{@st41b}Tempo Restante
UI_20150317_000023	3 horas 16 minutos
UI_20150317_000024	{@st41b}Preço Inicial
UI_20150317_000025	{@st41b}Lances
UI_20150317_000026	{@st41b}Preço Atual
UI_20150317_000027	{@st41b}Preço do Lance
UI_20150317_000028	{@st41b}Preço Mínimo do Lance {@st57}%s{@st41b}de prata{/}
UI_20150317_000029	{@st41b}Lance{/}
UI_20150317_000030	{@st43b}Comprar Já!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Configurações de Autorização{/}
UI_20150317_000032	{@st45}Nome: %s{/}
UI_20150317_000033	{@st45}Depósito do Grupo{/}
UI_20150317_000034	{@st49}Nada
UI_20150317_000035	{@st49}Armazenar
UI_20150317_000036	{@st49}Repor
UI_20150317_000037	{@st45}Avaliar{/}
UI_20150317_000038	{@st49}Criar
UI_20150317_000039	{@st49}Excluir
UI_20150317_000040	{@st44}Salvar{/}
